objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
mayes_grey23,coll001-23.jpg,Meridian Creamery - 5,C. Gray,Unknown,"Shot outside the creamery, showing a horse in the background",creamery;horses;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey24,coll001-24.jpg,Good Friends,Unknown,1947,Two women get their photo taken,women;candid,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey25,coll001-25.jpg,Meridian Creamery - 6,C. Gray,1934,Men working at the creamery,creamery;men;construction;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey26,coll001-26.jpg,Alice's Father-In-law's Place,Unknown,Unknown,Outside shot of a home,houses;buildings;streets,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey27,coll001-27.jpg,Meridian Creamery - 7,Unknown,1934,Similar shot of the new smoke stack,creamery;smokestack;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey28,coll001-28.jpg,Exchange Bank,Unknown,Unknown,Two pictures of the exchange bank on E. 2nd & Broadway and a sale with a crowd,buildings;crowds;exchange bank;banks;sale,"Meridian, Idaho",43.610098,-116.390129,,,Image;StillImage,image/jpg,eng,,
mayes_grey29,coll001-29.jpg,Meridian Creamery - 8,Unknown,1934,Copy of the new smoke stack,creamery;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey30,coll001-30.jpg,Meridian Sale,C. Gray,Unknown,Sale happening in town,crowds;men;women;sale,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey31,coll001-31.jpg,Meridian Creamery - 9,Unknown,Unknown,Exterior shot of the creamery,creamery;buildings;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey32,coll001-32.jpg,Construction Outside Creamery,Unknown,Unknown,Workers constructing an addition to the creamery,construction;creamery;men;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey33,coll001-33.jpg,Memorial Day at the Meridian Cemetery,Unknown,Unknown,Parade for Memorial Day at the cemetery,parades;men;military;cemeteries;Memorial Day;soldiers,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey34,coll001-34.jpg,Starting the basement of Alice's House,Unknown,Unknown,Men working on the basement for Alice's house,houses;buildings;construction;basement;horses;wagons,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey35,coll001-35.jpg,Meridian Drug Center (Swede's),Unknown,1947,Storefront of Meridian Drug Center,stores;storefronts;pharmacies;drugs;Greyhound,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey36,coll001-36.jpg,Meridian Creamery - 10,C. Gray,Unknown,Outside of the Meridian Creamery,creamery;smokestacks;dairy;Union Pacific;buildings,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey37,coll001-37.jpg,Automobile - 1,Unknown,Unknown,Car outside grocery store,automobiles;grocery stores;stores;storefronts;streets,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey38,coll001-38.jpg,Corner of Broadway,Unknown,Unknown,The Corner of Broadway,stores;storefronts;streets,"Meridian, Idaho",43.610123,-116.391593,,,Image;StillImage,image/jpg,eng,,
mayes_grey39,coll001-39.jpg,Meridian Creamery - 11,Unknown,Unknown,Making the new boiler room for the creamery,creamery;horses;automobiles;milkcans;dairy;smokestacks;men;building,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey40,coll001-40.jpg,Meridian Creamery -12,C. Gray,Unknown,Picture taken at the creamery,creamery;horses;automobiles;milkcans;dairy;smokestacks;men;buildings,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey41,coll001-41.jpg,Meridian Creamery - 13,E.G. Millikan,Unknown,Men posing in front of the old boiler,men;boilers;creamery;buildings;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey42,coll001-42.jpg,Meridian Creamery - 14,Unknown,1934,Another copy of the creamery smoke stack,creamery;smokestack;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey43,coll001-43.jpg,Mr. Matthews,Unknown,Unknown,Mr. Matthews posing by a movie poster,men;movie posters;streets;Matthews,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey44,coll001-44.jpg,Meridian Creamery - 15,Unknown,Unknown,View of the smoke stack with Challenger logo,creamery;smokestacks;Challenge Butter;dairy,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey45,coll001-45.jpg,"""Sincerely Yours"" - Dorothy",Unknown,Unknown,"Young woman, Dorothy, posing for a photo",women;portraits;Dorothy,"Boise, Idaho",,,,,Image;StillImage,image/jpg,eng,,
mayes_grey46,coll001-46.jpg,Fourth and Fifth Graders from 1913-1914,Unknown,1913-1914,Pictures taken in 1913-1914 of two class grades,grade schools;schools;school grades;children;boys;girls;teachers,"Meridian, Idaho",43.6121,-116.3915,The Meridian Times,,Image;StillImage,image/jpg,eng,,
mayes_grey47,coll001-47.jpg,The Daly Brothers - 1,Unknown,Unknown,Reproduction of the Daly brothers,brothers;men;Daly;portrait,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey48,coll001-48.jpg,The Daly Brothers - 2,Unknown,Unknown,"Reproduction of the Daly brothers, one of them enlarged",brothers;men;Daly;portrait,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey49,coll001-49.jpg,The Daly Brothers - 3,Unknown,Unknown,"Reproduction of the Daly brothers, copy",brothers;men;Daly;portrait,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey50,coll001-50.jpg,Ribbon Cutting for the Library,Unknown,1971,Mayor Dan Storey & Librarian Nang Soze,libraries;men;women;ribbon;books,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey51,coll001-51.jpg,Main Street,Unknown,1900,View of Main Street during the early 1900s,streets;automobiles;stores;storefronts;men;women;dogs,"Meridian, Idaho",43.60913,-116.39156,,,Image;StillImage,image/jpg,eng,,
mayes_grey52,coll001-52.jpg,Swede Boice - 2,Unknown,5/28/1945,Picture of Swede Boice in 1945,Swede Boice;automobiles;stores;streets;men,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey53,coll001-53.jpg,Parade Float for University of Idaho,Unknown,Unknown,Parade float of Idaho for U of I,parades;Idaho;University of Idaho;music;floats,"Meridian, Idaho",43.6121,,,,Image;StillImage,image/jpg,eng,,
mayes_grey54,coll001-54.jpg,Automobile - 2,Unknown,1910-1920,"Car in the middle of a field with five people. One outside the car, two up front, two in back.",men;women;automobiles;fields,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey55,coll001-55.jpg,Meridian Hotel & Super Service Station,Unknown,Unknown,Broadway & E. 1st (Service Station) and E. 1st & Idaho (Hotel),Super Service Station;people;men;women;children;automobiles;stores;storefronts;service stations,"Meridian, Idaho",43.610112,-116.391586,,,Image;StillImage,image/jpg,eng,,
mayes_grey56,coll001-56.jpg,Super Service Station - 1,Unknown,Unknown,"Close up shot of the service station, Broadway & E. 1st (Main St.), blacksmith shop in the back",Super Service Station;people;blacksmiths;men;women;children;automobiles;service stations,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey57,coll001-57.jpg,Hedges Merchantile,Unknown,1910,"Shot of people outside the mercantile, Idaho St.",stores;storefronts;mercantiles;people;men;women;children,"Meridian, Idaho",43.610873,-116.388667,,,Image;StillImage,image/jpg,eng,,
mayes_grey58,coll001-58.jpg,Fourth Graders in school,Unknown,1902,Shot inside Meridian School,children;schools;grade schools;Meridian School;boys;girls;teachers;chalkboards,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey59,coll001-59.jpg,Meridian High Football Team,Unknown,1907,Picture of the MHS football team,boys;men;football;portraits,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey60,coll001-60.jpg,Catherine Harris,Unknown,1960,Catherine Harris poses as she's 101 years old,Catherine Harris;women;portraits,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey61,coll001-61.jpg,Meridian City Officals,Unknown,1950s,"City officials all together, councilmen, police, and fire",men;police;firefighters;councilmen,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey62,coll001-62.jpg,Meridian Dairy Show Board Members '58,Unknown,1958,Board members posing with Dairy Show derby hats,dairy;Dairy Days;men;board members;derby hats,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey63,coll001-63.jpg,Meridian Dairy Show Board Members '56,Unknown,1956,Board members posing for their picture,dairy;Dairy Days;men;board members,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey64,coll001-64.jpg,Meridian Exchange Bank - Teller's Cage,Unknown,1907,"Inside the exchange bank, the picture shows the teller's cage",exchange bank;bank;men;buisness;building,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey65,coll001-65.jpg,Quilter's Club - 1,Unknown,1918,Group of ladies around a quilt as it's being made,women;quilts;quilting;houses;quilters,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey66,coll001-66.jpg,Quilter's Club - 2,Unknown,1918,Copy of the ladies working on a quilt,women;quilts;quilting;houses;quilters,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey67,coll001-67.jpg,3 Friends,Unknown,Unknown,"3 older friends who are posing for a photo, one of them being Catherine Harris",Catherine Harris;women;men;portraits;Horton Studio,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey68,coll001-68.jpg,Quilter's Club - 3,Unknown,1918,Another copy of the ladies working on a quilt,women;quilts;quilting;houses;quilters,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey69,coll001-69.jpg,Occidental Club Tea,Unknown,Unknown,The occident club having tea,Occident Club;tea;parties;women;clubs,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey70,coll001-70.jpg,Horse Drawn Wagon to Yellowstone,Unknown,Unknown,Horse Drawn Wagon on its way to Yellowstone,wagons;horses;trails;mountains;children;men;Yellowstone,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey71,coll001-71.jpg,Town Across the Railroad Track,Unknown,Unknown,View of Meridian across a railroad track,trains;train tracks;city;Meridian;stores;storefronts,"Meridian, Idaho",43.608603,-116.391575,,,Image;StillImage,image/jpg,eng,,
mayes_grey72,coll001-72.jpg,Two Pictures of Meridian City,Unknown,Unknown,"Two images of Meridian. One streetview, the other of a sale.",people;crowds;men;women;stores;storefronts;sale,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey73,coll001-73.jpg,Two Images of the Creamery,Unknown,Unknown,"Both images are of the creamery at different times, one with a Union Pacific train in front",creamery;smokestacks;trains;Union Pacific;men;horses;automobiles;milkcans;dairy,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey74,coll001-74.jpg,Super Service Station - 2,Unknown,Unknown,"Copy of the Super Service Station, enlarged",Super Service Station;people;blacksmiths;men;women;children;automobiles;service stations,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey75,coll001-75.jpg,Two Pictures of the Creamery,Unknown,Unknown,"Two pictures of the creamery, side by side",creamery;men;horses;wagons;automobiles;dairy;smokestacks;buildings,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey76,coll001-76.jpg,Two Pictures of the Dairymen's Assoc. & Boiler,Unknown,Unknown,"First picture of enlarged Dairymen's Assoc., second picture of enlarged new boiler",dairymen;Challenge Butter;milkcans;dairy;boilers;men;automobiles,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey77,coll001-77.jpg,Two Photos of Hardware Store & School,Unknown,Unknown,"First of enlarged Louderbough's Hardware, second of school",stores;storefronts;ice cream;children;schools;school yards;grade schools;boys;girls;teachers;play grounds,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey78,coll001-78.jpg,Two Images of Cemetery & a Home,Unknown,Unknown,"First is of an enlarged cemetery picture, second is of Alice's home",cemetaries;people;headstones;men;women;flowers;houses;streets,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey79,coll001-79.jpg,Two Photos of Creamery & School,Unknown,Unknown,"Copy of school, enlarged, and of the creamery",schools;school yards;grade schools;boys;girls;teachers;play grounds;creamery;dairy;men;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
mayes_grey80,coll001-80.jpg,Group Photo,Unknown,1989,"Picture of a big group, older folks",men;women;portraits,,,,,,Image;StillImage,image/jpg,eng,,
mayes_grey81,coll001-81.jpg,Grain Silo,Unknown,Unknown,Picture of the old grain silo,grain silos;silos;farming;men;construction,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
