objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
col001_56,coll001-56.jpg,Super Service Station and Blacksmith Shop,Unknown,Unknown,"Close up shot of the service station, Broadway & E. 1st (Main St.), blacksmith shop in the back",Super Service Station;people;blacksmiths;men;women;children;automobiles;service stations,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_57,coll001-57.jpg,Hedges Merchantile,Unknown,1910,"Shot of people outside the mercantile, Idaho St.",stores;storefronts;mercantiles;people;men;women;children,"Meridian, Idaho",43.610873,-116.388667,,,Image;StillImage,image/jpg,eng,,
col001_58,coll001-58.jpg,Fourth Graders in school,Unknown,1902,Shot inside Meridian School,children;schools;grade schools;Meridian School;boys;girls;teachers;chalkboards,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_59,coll001-59.jpg,Meridian High Football Team,Unknown,1907,Picture of the MHS football team,boys;men;football;portraits,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_60,coll001-60.jpg,Catherine Harris,Unknown,1960,Catherine Harris poses as she's 101 years old,Catherine Harris;women;portraits,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_61,coll001-61.jpg,Meridian City Officals,Unknown,1950s,"City officials all together, councilmen, police, and fire",men;police;firefighters;councilmen,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_62,coll001-62.jpg,Meridian Dairy Show Board Members '58,Unknown,1958,Board members posing with Dairy Show derby hats,dairy;Dairy Days;men;board members;derby hats,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_63,coll001-63.jpg,Meridian Dairy Show Board Members '56,Unknown,1956,Board members posing for their picture,dairy;Dairy Days;men;board members,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_64,coll001-64.jpg,Meridian Exchange Bank - Teller's Cage,Unknown,1907,"Inside the exchange bank, the picture shows the teller's cage",exchange bank;bank;men;buisness;building,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_66,coll001-66.jpg,Quilter's Club,Unknown,1918,Copy of the ladies working on a quilt,women;quilts;quilting;houses;quilters,,,,,,Image;StillImage,image/jpg,eng,,
col001_67,coll001-67.jpg,3 Friends,Unknown,Unknown,"3 older friends who are posing for a photo, one of them being Catherine Harris",Catherine Harris;women;men;portraits;Horton Studio,,,,,,Image;StillImage,image/jpg,eng,,
col001_68,coll001-68.jpg,Quilter's Club Displaying Quilt,Unknown,1918,Another copy of the ladies working on a quilt,women;quilts;quilting;houses;quilters,,,,,,Image;StillImage,image/jpg,eng,,
col001_69,coll001-69.jpg,Occidental Club Tea,Unknown,Unknown,The occident club having tea,Occident Club;tea;parties;women;clubs,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
col001_70,coll001-70.jpg,Horse Drawn Wagon to Yellowstone,Unknown,Unknown,Horse Drawn Wagon on its way to Yellowstone,wagons;horses;trails;mountains;children;men;Yellowstone,,,,,,Image;StillImage,image/jpg,eng,,
col001_71,coll001-71.jpg,Town Across the Railroad Track,Unknown,Unknown,View of Meridian across a railroad track,trains;train tracks;city;Meridian;stores;storefronts,"Meridian, Idaho",43.608603,-116.391575,,,Image;StillImage,image/jpg,eng,,
col001_80,coll001-80.jpg,Group Photo,Unknown,1989,"Picture of a big group, older folks",men;women;portraits,,,,,,Image;StillImage,image/jpg,eng,,
col001_81,coll001-81.jpg,Grain Silo,Unknown,Unknown,Picture of the old grain silo,grain silos;silos;farming;men;construction,"Meridian, Idaho",43.6121,-116.3915,,,Image;StillImage,image/jpg,eng,,
